Partlist exported from Team Hub: Zack's Team   Project: Senior Design Patient Monitor  Board: Patient Monitor Board v97 at 3/15/2024 6:08 PM

Ordered	Qty Value              Device                  Package                Parts                                                              Description                      CURRENT IC_MAX I_MAX POPULARITY POWER SIZE TEMPERATURE VALUE        VCE_MAX VOLTAGE  VP_MAX VR_MAX V_MAX
Have	1                      PINHD-1X2/90            1X02/90                JP6                                                                PIN HEADER                                            24                                                                                 
Have	1                      PINHD-1X3               1X03                   JP1                                                                PIN HEADER                                            92                                                                                 
Have	1                      PINHD-1X4/90            1X04/90                JP5                                                                PIN HEADER                                            9                                                                                  
Have	2                      PINHD-1X5               1X05                   JP3, JP4                                                           PIN HEADER                                            69                                                                                 
Have	1                      PINHD-1X6/90            1X06/90                JP2                                                                PIN HEADER                                            10                                                                                 
Yes	8   0.1 F   5%         CAP-H-0.1UF-1608        1608-SEM               C8, C9, C23, C24, C26, C35, C36, C40                               Ceramic Capacitors                                                     1608 X7R         0.1 F   5%           50V                         
Yes	14  0.1 F   5%         CAP-V-0.1UF-1608        1608-SEM               C2, C3, C10, C11, C12, C13, C14, C27, C28, C29, C34, C37, C44, C45 Ceramic Capacitors                                                     1608 X7R         0.1 F   5%           50V                         
Yes	1   0.33 F   10%       CAP-H-0.33UF-1608       1608-SEM               C4                                                                 Ceramic Capacitors                                                     1608 X7R         0.33 F   10%         50V                         
Yes	1   0.33 F   10%       CAP-V-0.33UF-1608       1608-SEM               C5                                                                 Ceramic Capacitors                                                     1608 X7R         0.33 F   10%         50V                         
Yes	1   1.0 F   10%        CAP-H-1.0UF-1608        1608-SEM               C25                                                                Ceramic Capacitors                                                     1608 X7R         1.0 F   10%          50V                         
Yes	3   1.0 F   10%        CAP-V-1.0UF-1608        1608-SEM               C17, C18, C38                                                      Ceramic Capacitors                                                     1608 X7R         1.0 F   10%          50V                         
Have	1   1.2MO   1%         RES-H-1.2M-1608         1608-SEM               R16                                                                Resistors                                                        1/10W      -55~155 C   1.2MO   1%           50V                         
Yes	1   1.4MO   1%         RES-V-1.4M-1608         1608-SEM               R11                                                                Resistors                                                        1/10W      -55~155 C   1.4MO   1%           50V                         
Yes	3   100kO   1%         RES-H-100K-1608         1608-SEM               R45, R48, R49                                                      Resistors                                                        1/10W      -55~155 C   100kO   1%           50V                         
Yes	2   100O   1%          RES-V-100R-1608         1608-SEM               R40, R42                                                           Resistors                                                        1/10W      -55~155 C   100O   1%            3.16V                       
Yes	2   10MO   1%          RES-H-10M-1608          1608-SEM               R9, R10                                                            Resistors                                                        1/10W      -55~155 C   10MO   1%            50V                         
Yes	4   10MO   1%          RES-V-10M-1608          1608-SEM               R5, R6, R7, R8                                                     Resistors                                                        1/10W      -55~155 C   10MO   1%            50V                         
Have	3   10kO   1%          RES-H-10K-1608          1608-SEM               R46, R50, R53                                                      Resistors                                                        1/10W      -55~155 C   10kO   1%            31.6V                       
Have	4   10kO   1%          RES-V-10K-1608          1608-SEM               R31, R32, R39, R52                                                 Resistors                                                        1/10W      -55~155 C   10kO   1%            31.6V                       
Yes	1   10nF   5%          CAP-H-0.01UF-1608       1608-SEM               C6                                                                 Ceramic Capacitors                                                     1608 X7R         10nF   5%            50V                         
Yes	3   10nF   5%          CAP-V-0.01UF-1608       1608-SEM               C19, C20, C39                                                      Ceramic Capacitors                                                     1608 X7R         10nF   5%            50V                         
Yes	2   10 F   10%         CAP-H-10UF-2012         2012-SEM               C21, C22                                                           Ceramic Capacitors                                                     2012 X7R         10 F   10%           16V                         
Yes	3   10 F   10%         CAP-V-10UF-2012         2012-SEM               C30, C31, C32                                                      Ceramic Capacitors                                                     2012 X7R         10 F   10%           16V                         
Yes	1   10O   1%           RES-V-10R-1608          1608-SEM               R44                                                                Resistors                                                        1/10W      -55~155 C   10O   1%             1.58V                       
Yes	5   13.3kO   1%        RES-V-13.3K-1608        1608-SEM               R20, R21, R22, R23, R24                                            Resistors                                                        1/10W      -55~155 C   13.3kO   1%          36.5V                       
Yes	1   150kO   1%         RES-H-150K-1608         1608-SEM               R18                                                                Resistors                                                        1/10W      -55~155 C   150kO   1%           50V                         
